Time,Current Risk Score,Sliding Window Risk Score,Current Risk Color,Sliding Window Risk Color
62,0.0,0.18533333333333335,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3686274509803922, 0.6855517108804305, 0.0, 1.0)"
63,0.0,0.18533333333333335,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3686274509803922, 0.6855517108804305, 0.0, 1.0)"
64,0.0,0.16533333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.32941176470588235, 0.6660207612456748, 0.0, 1.0)"
65,0.0,0.16533333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.32941176470588235, 0.6660207612456748, 0.0, 1.0)"
66,0.0,0.16533333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.32941176470588235, 0.6660207612456748, 0.0, 1.0)"
67,0.0,0.16533333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.32941176470588235, 0.6660207612456748, 0.0, 1.0)"
68,0.16000000000000003,0.16533333333333333,"(0.3137254901960784, 0.6582083813917724, 0.0, 1.0)","(0.32941176470588235, 0.6660207612456748, 0.0, 1.0)"
69,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
70,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
71,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
72,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
73,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
74,0.0,0.178,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
75,0.0,0.1726666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.34509803921568627, 0.673833141099577, 0.0, 1.0)"
76,0.21,0.1726666666666667,"(0.4156862745098039, 0.7089888504421376, 0.0, 1.0)","(0.34509803921568627, 0.673833141099577, 0.0, 1.0)"
77,0.0,0.2006666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4, 0.7011764705882353, 0.0, 1.0)"
78,0.0,0.2006666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4, 0.7011764705882353, 0.0, 1.0)"
79,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
80,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
81,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
82,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
83,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
84,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
85,0.0,0.17666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
86,0.04000000000000001,0.17666666666666667,"(0.0784313725490196, 0.5410226835832372, 0.0, 1.0)","(0.3529411764705882, 0.6777393310265283, 0.0, 1.0)"
87,0.0,0.16866666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.33725490196078434, 0.6699269511726259, 0.0, 1.0)"
88,0.0,0.16866666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.33725490196078434, 0.6699269511726259, 0.0, 1.0)"
89,0.0,0.16866666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.33725490196078434, 0.6699269511726259, 0.0, 1.0)"
90,0.0,0.07866666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
91,0.0,0.07866666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
92,0.21,0.07866666666666668,"(0.4156862745098039, 0.7089888504421376, 0.0, 1.0)","(0.1568627450980392, 0.580084582852749, 0.0, 1.0)"
93,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
94,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
95,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
96,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
97,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
98,0.0,0.10666666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.21176470588235294, 0.6074279123414071, 0.0, 1.0)"
99,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
100,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
101,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
102,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
103,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
104,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
105,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
106,0.0,0.064,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.12549019607843137, 0.5644598231449443, 0.0, 1.0)"
107,0.5,0.036,"(1.0, 0.996078431372549, 0.0, 1.0)","(0.07058823529411765, 0.537116493656286, 0.0, 1.0)"
108,0.0,0.11933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)"
109,0.0,0.11933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)"
110,0.0,0.11933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)"
111,0.0,0.11933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)"
112,0.16000000000000003,0.11933333333333332,"(0.3137254901960784, 0.6582083813917724, 0.0, 1.0)","(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)"
113,0.0,0.14066666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.2823529411764706, 0.6425836216839678, 0.0, 1.0)"
114,0.0,0.14066666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.2823529411764706, 0.6425836216839678, 0.0, 1.0)"
115,0.0,0.14066666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.2823529411764706, 0.6425836216839678, 0.0, 1.0)"
116,0.5,0.14066666666666666,"(1.0, 0.996078431372549, 0.0, 1.0)","(0.2823529411764706, 0.6425836216839678, 0.0, 1.0)"
117,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
118,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
119,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
120,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
121,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
122,0.0,0.24933333333333332,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.49411764705882355, 0.7480507497116493, 0.0, 1.0)"
123,0.13999999999999999,0.22133333333333333,"(0.27450980392156865, 0.6386774317570165, 0.0, 1.0)","(0.4392156862745098, 0.7207074202229912, 0.0, 1.0)"
124,0.0,0.23066666666666666,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4627450980392157, 0.7324259900038447, 0.0, 1.0)"
125,0.3,0.23066666666666666,"(0.596078431372549, 0.7988312187620146, 0.0, 1.0)","(0.4627450980392157, 0.7324259900038447, 0.0, 1.0)"
126,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
127,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
128,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
129,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
130,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
131,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
132,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
133,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
134,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
135,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
136,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
137,0.0,0.31066666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6196078431372549, 0.8105497885428681, 0.0, 1.0)"
138,0.0,0.22733333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4549019607843137, 0.7285198000768935, 0.0, 1.0)"
139,0.0,0.22733333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4549019607843137, 0.7285198000768935, 0.0, 1.0)"
140,0.0,0.22733333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4549019607843137, 0.7285198000768935, 0.0, 1.0)"
141,0.27,0.22733333333333333,"(0.5411764705882353, 0.7714878892733563, 0.0, 1.0)","(0.4549019607843137, 0.7285198000768935, 0.0, 1.0)"
142,0.0,0.2723333333333333,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5411764705882353, 0.7714878892733563, 0.0, 1.0)"
143,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
144,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
145,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
146,0.5,0.251,"(1.0, 0.996078431372549, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
147,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
148,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
149,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
150,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
151,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
152,0.0,0.251,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
153,0.18,0.251,"(0.3607843137254902, 0.6816455209534794, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
154,0.0,0.25366666666666665,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
155,0.5,0.25366666666666665,"(1.0, 0.996078431372549, 0.0, 1.0)","(0.5019607843137255, 0.7519569396386006, 0.0, 1.0)"
156,0.0,0.2736666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
157,0.0,0.2736666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
158,0.0,0.2736666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
159,0.0,0.2736666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
160,0.0,0.2736666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
161,0.12,0.2736666666666667,"(0.23529411764705882, 0.6191464821222606, 0.0, 1.0)","(0.5490196078431373, 0.7753940792003076, 0.0, 1.0)"
162,0.0,0.29766666666666675,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
163,0.0,0.29766666666666675,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
164,0.0,0.29766666666666675,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
165,0.0,0.29766666666666675,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
166,0.0,0.29766666666666675,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
167,0.24,0.29766666666666675,"(0.4784313725490196, 0.740238369857747, 0.0, 1.0)","(0.596078431372549, 0.7988312187620146, 0.0, 1.0)"
168,0.0,0.37766666666666676,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.7529411764705882, 0.8769550173010381, 0.0, 1.0)"
169,0.0,0.37766666666666676,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.7529411764705882, 0.8769550173010381, 0.0, 1.0)"
170,0.0,0.37766666666666676,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.7529411764705882, 0.8769550173010381, 0.0, 1.0)"
171,0.0,0.37766666666666676,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.7529411764705882, 0.8769550173010381, 0.0, 1.0)"
172,0.0,0.3326666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6666666666666666, 0.8339869281045751, 0.0, 1.0)"
173,0.0,0.3326666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6666666666666666, 0.8339869281045751, 0.0, 1.0)"
174,0.0,0.3326666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6666666666666666, 0.8339869281045751, 0.0, 1.0)"
175,0.0,0.3326666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6666666666666666, 0.8339869281045751, 0.0, 1.0)"
176,0.0,0.3326666666666667,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.6666666666666666, 0.8339869281045751, 0.0, 1.0)"
177,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
178,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
179,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
180,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
181,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
182,0.0,0.21600000000000003,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
183,0.18,0.21600000000000003,"(0.3607843137254902, 0.6816455209534794, 0.0, 1.0)","(0.43137254901960786, 0.71680123029604, 0.0, 1.0)"
184,0.0,0.222,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4392156862745098, 0.7207074202229912, 0.0, 1.0)"
185,0.0,0.222,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.4392156862745098, 0.7207074202229912, 0.0, 1.0)"
186,0.5,0.12200000000000001,"(1.0, 0.996078431372549, 0.0, 1.0)","(0.24313725490196078, 0.6230526720492118, 0.0, 1.0)"
187,0.0,0.18866666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3764705882352941, 0.6894579008073818, 0.0, 1.0)"
188,0.0,0.18866666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3764705882352941, 0.6894579008073818, 0.0, 1.0)"
189,0.0,0.18866666666666668,"(0.0, 0.5019607843137255, 0.0, 1.0)","(0.3764705882352941, 0.6894579008073818, 0.0, 1.0)"
